bsk_id,bsk_name,district_name,sub_division_name,block_municipalty_name,gp_ward,gp_ward_distance,bsk_type,bsk_sub_type,bsk_code,no_of_deos,is_aadhar_center,bsk_address,bsk_lat,bsk_long,bsk_account_no,bsk_landline_no,is_saturday_open,is_active,district_id,block_mun_id,gp_id,sub_div_id,pin
1232,DAHALA GP,BANKURA,KHATRA SDO,KHATRA,DAHALA,0,Rural,GP,BAN/H/R/01956,2,0,"Dahala Gram Panchayat PO- Kakradara, Khatra, Bankura",22.9306004,86.8823305,40458699724,"",YES,t,4,15,1443,4,722140
3415,SI OFFICE BISHNUPUR 1,SOUTH 24 PARGANAS,ALIPORE SADAR,BISHNUPUR I,PURBA BISHNUPUR,0.1,Rural,CLRC,S24/S/R/03321,2,0,"BISHNUPUR-I CIRCLE, BHASA, SOUTH 24 PGS PIN-743503",22.4042481,88.279779,40460528335,,NO,t,3,305,3183,62,743503
1499,KANDUA GP,HOWRAH,SADAR SDO,SANKRAIL,KANDUA,0,Rural,GP,HOW/H/R/02929,2,0,"Vill +PO Kandua , Sankrail ",22.5704337,88.1647758,40458702669,,NO,t,12,98,2394,23,711302
2325,SANGRAMPUR SHIBHATI GP,NORTH 24 PARGANAS,BASIRHAT,BASIRHAT I,SANGRAMPUR SHIBHATI,0,Rural,GP,N24/H/R/02252,2,0,"Vill + PO - Sangrampur, Pin - 743422",22.6664205,88.8728205,40460339880,,NO,t,2,198,2803,42,743422
141,HALDIBARI BDO,COOCH BEHAR,MEKHLIGANJ SDO,HALDIBARI,BOXIGANJ,1,Urban,BDO,COO/P/R/00298,2,1,"HALDIBARI BDO OFFICE,WARD NO 07,VILL;MELAR MATH,POST;HALDIBARI",26.3306117,88.7814709,40460443155,"",NO,t,7,57,123,11,735122
257,CHAKDAHA,NADIA,KALYANI SDO,CHAKDAHA,TATLA-II,2,Rural,BDO,NAD/P/R/01192,2,0,"VILL. - KAMALPUR, GP-TATLA II, P.O+P.S-CHAKDAHA, NADIA. PIN - 741222",23.0837144,88.5527797,40460466321,,NO,t,18,185,994,36,741222
1795,MALANDIGHI P.H.C.,PASCHIM BARDHAMAN,DURGAPUR,KANKSA,MALANDIGHI,1.5,Urban,Health Center,PAB/H/R/01665,2,0,"Vill+Po- Malandighi, Pin-713212",23.5672867,87.4038529,40460554820,03432586606,NO,t,23,214,1764,46,713212
1664,RAJARAMPUR P.H.C.,MURSHIDABAD,LALBAG SDO,LALGOLA,PAIKPARA,4.5,Rural,Health Center,MUR/H/R/00872,2,0,"RAJARAMPUR, LALGOLA, MURSHIDABAD, PIN- 742151",24.3553839,88.1930577,40460459267,,NO,t,17,166,703,35,742151
2704,DURLOVPUR  GP,UTTAR DINAJPUR,RAIGANJ SDO,ITAHAR,DURLAVPUR,0,Rural,GP,UDR/H/R/00490,2,0,"VILL- SONAPUR, PO- DURLOVPUR PS-ITAHAR PIN-733143, U/D",25.5130308,88.1865704,40460630961,,NO,t,10,337,367,68,733143
2014,ILOO PHC,PURULIA,JHALDA,JHALDA I,ILU-JARGO,3,Rural,Health Center,PUR/H/R/01787,2,0,VILL+PO- ILOO PS- JHALDA DIST- PURULIA PIN- 723212,23.2997883,85.8774952,40460754909,,NO,t,19,295,1238,59,723212
348,RAINA - II,PURBA BARDHAMAN,BARDHAMAN SADAR SOUTH,RAINA II,ARUI,4.5,Rural,BDO,PUB/P/R/01406,2,1,Vill + PO + PS : Madhabdihi PIN Code: 713423,23.0130198,87.8665388,40460549945,03451265209,NO,t,5,248,1759,53,713424
3552,HALDIA MUNICIPALITY,PURBA MEDINIPUR,HALDIA,HALDIA MUNICIPALITY,WARD NO.-13,0.02,Urban,Municipality,PUM/U/U/03555,2,0,"VILL: DEBHOG WARD NO- 13, P.O- Debhog, P.S- Haldia, PIN- 721657, MUNICIPALITY- HALDIA MUNICIPALITY",22.0606796,88.0778666,40460553554,03224294124,NO,t,15,475,8703,56,721657
236,BHARATPUR -I BDO,MURSHIDABAD,KANDI SDO,BHARATPUR I,BHARATPUR,1.0,Rural,BDO,MUR/P/R/00747,2,0,"BHARATPUR-I DEV. BLOCK, VILL+P.O-BHARATPUR,PIN-742301",23.8767435,88.0816144,40460464925,03484296436,NO,t,17,161,764,34,742301
1137,BAMANGHATA GP,SOUTH 24 PARGANAS,BARUIPUR,BHANGAR II,BAMANGHATA,0,Rural,GP,S24/L/R/03119,2,0,BAMANGHATA,22.523134,88.4682965,40458698710,,NO,t,3,312,2942,63,700150
1292,BARSHAL  GP,BANKURA,BANKURA SADAR SDO,GANGAJALGHATI,BARSHAL,0,Rural,GP,BAN/H/R/02016,1,0,"Barshal Gram Panchayat Office, Vill-Srichandanpur, PO-Nityanandapur",23.4704727,87.1834024,40458700377,03241262092,YES,t,4,11,1402,2,722142
2274,ISLAMPUR RH,MURSHIDABAD,DOMKAL SDO,RANINAGAR I,ISLAMPURCHAK,2.5,Rural,Health Center,MUR/H/R/00898,1,0,"ISLAMPUR,DIST-MURSHIDABAD,PIN-742304",24.155754,88.470092,40460332080,,NO,t,17,148,667,32,742304
903,BERGOOM-II GP,NORTH 24 PARGANAS,BARASAT SADAR,HABRA I,BERGOOM-II,0,Rural,GP,N24/L/R/02148,2,0,"BERGOOM-II GP, GOBARDANGA",22.868184,88.7084274,40460325573,,NO,t,2,192,2746,40,743263
